VEHIDCODE,ACTUAL_LENGTH,AIR_COEFFICIENT,AIR_DRAG_COEFFICIENT,BITMASK_VEHICLE_INFO,CARGODEF,CARGO_AGE_PERIOD,DUAL_HEADED,ENGINE_CLASS,HEAD_CAPACITY,INTRODUCTION_YEAR,ITEM,LENGTH,LOADINGSPEED,MICS_FLAGS,MISC_FLAGS,MODEL_LIFE,NAME,PASSENGER,POWER,POWER_PER_WAGON,REFIT_COST,RELIABILITY_DECAY,RETIRE_EARLY,RUNNING_COST_BASE,SPEED,SPRITE_ID,TE_COEFFICIENT,TRACK_TYPE,VEHICLE_LIFE,VEHICLE_REGION,VISUAL_FLAG,WAGON_CAPACITY,WAGON_LENGTH,WEIGHT
coach_Gen1_Wooden_2_axle_Compartment_Coach,4,,0,DEFAULT_BITMASK,CARGODEF_PASSENGERS_ONLY,DEFAULT_CARGO_AGE_PERIOD,0,CURRENT_ENGINE_CLASS,20,1830,item_coach_Gen1_Wooden_2_axle_Compartment_Coach,4,LOADINGSPEEDDEF_COMMUTER,,bitmask(TRAIN_FLAG_2CC),90,string(str_coach_Gen1_Wooden_2_axle_Compartment_Coach),1,0,DEFAULT_POWER_PER_WAGON,DEFAULT_REFIT_COST,DEFAULT_RELIABILITY_DECAY,DEFAULT_RETIRE_EARLY,CURRENT_RUNNING_COST_BASE,50,DEFAULT_SPRITE_ID,0.3,CURRENT_TRACK_TYPE,25,"REGION(REGIONTYPE1,OCEANIA,NOCONCEPT)","visual_effect_and_powered(VISUAL_EFFECT_DISABLE, 0, DISABLE_WAGON_POWER)",,,5
coach_Gen1_Wooden_2_axle_Mail_Coach,4,,0,DEFAULT_BITMASK,CARGODEF_MAIL_ONLY,DEFAULT_CARGO_AGE_PERIOD,0,CURRENT_ENGINE_CLASS,12,1830,item_coach_Gen1_Wooden_2_axle_Mail_Coach,4,LOADINGSPEEDDEF_MAIL,,bitmask(TRAIN_FLAG_2CC),90,string(str_coach_Gen1_Wooden_2_axle_Mail_Coach),1,0,DEFAULT_POWER_PER_WAGON,DEFAULT_REFIT_COST,DEFAULT_RELIABILITY_DECAY,DEFAULT_RETIRE_EARLY,CURRENT_RUNNING_COST_BASE,50,DEFAULT_SPRITE_ID,0.3,CURRENT_TRACK_TYPE,25,"REGION(ALLREGION,NOREGION,NOCONCEPT)","visual_effect_and_powered(VISUAL_EFFECT_DISABLE, 0, DISABLE_WAGON_POWER)",,,5
coach_Gen1_Wooden_2_axle_Regional_Coach,4,,0,DEFAULT_BITMASK,CARGODEF_PASSENGERS_ONLY,DEFAULT_CARGO_AGE_PERIOD,0,CURRENT_ENGINE_CLASS,16,1830,item_coach_Gen1_Wooden_2_axle_Regional_Coach,4,LOADINGSPEEDDEF_INTERCITY,,bitmask(TRAIN_FLAG_2CC),90,string(str_coach_Gen1_Wooden_2_axle_Regional_Coach),1,0,DEFAULT_POWER_PER_WAGON,DEFAULT_REFIT_COST,DEFAULT_RELIABILITY_DECAY,DEFAULT_RETIRE_EARLY,CURRENT_RUNNING_COST_BASE,65,DEFAULT_SPRITE_ID,0.3,CURRENT_TRACK_TYPE,25,"REGION(ALLREGION,NOREGION,NOCONCEPT)","visual_effect_and_powered(VISUAL_EFFECT_DISABLE, 0, DISABLE_WAGON_POWER)",,,5
coach_Gen1_Wooden_3_axle_Compartment_Coach,5,,0,DEFAULT_BITMASK,CARGODEF_PASSENGERS_ONLY,DEFAULT_CARGO_AGE_PERIOD,0,CURRENT_ENGINE_CLASS,50,1850,item_coach_Gen1_Wooden_3_axle_Compartment_Coach,5,LOADINGSPEEDDEF_COMMUTER,,bitmask(TRAIN_FLAG_2CC),80,string(str_coach_Gen1_Wooden_3_axle_Compartment_Coach),1,0,DEFAULT_POWER_PER_WAGON,DEFAULT_REFIT_COST,DEFAULT_RELIABILITY_DECAY,DEFAULT_RETIRE_EARLY,CURRENT_RUNNING_COST_BASE,80,DEFAULT_SPRITE_ID,0.3,CURRENT_TRACK_TYPE,25,"REGION(REGIONTYPE1,OCEANIA,NOCONCEPT)","visual_effect_and_powered(VISUAL_EFFECT_DISABLE, 0, DISABLE_WAGON_POWER)",,,13
coach_Gen1_Wooden_3_axle_Mail_Coach,5,,0,DEFAULT_BITMASK,CARGODEF_MAIL_ONLY,DEFAULT_CARGO_AGE_PERIOD,0,CURRENT_ENGINE_CLASS,24,1850,item_coach_Gen1_Wooden_3_axle_Mail_Coach,5,LOADINGSPEEDDEF_MAIL,,bitmask(TRAIN_FLAG_2CC),80,string(str_coach_Gen1_Wooden_3_axle_Mail_Coach),1,0,DEFAULT_POWER_PER_WAGON,DEFAULT_REFIT_COST,DEFAULT_RELIABILITY_DECAY,DEFAULT_RETIRE_EARLY,CURRENT_RUNNING_COST_BASE,80,DEFAULT_SPRITE_ID,0.3,CURRENT_TRACK_TYPE,25,"REGION(REGIONTYPE1,OCEANIA,NOCONCEPT)","visual_effect_and_powered(VISUAL_EFFECT_DISABLE, 0, DISABLE_WAGON_POWER)",,,13
coach_Gen1_Wooden_3_axle_Regional_Coach,5,,0,DEFAULT_BITMASK,CARGODEF_PASSENGERS_ONLY,DEFAULT_CARGO_AGE_PERIOD,0,CURRENT_ENGINE_CLASS,40,1850,item_coach_Gen1_Wooden_3_axle_Regional_Coach,5,LOADINGSPEEDDEF_INTERCITY,,bitmask(TRAIN_FLAG_2CC),80,string(str_coach_Gen1_Wooden_3_axle_Regional_Coach),1,0,DEFAULT_POWER_PER_WAGON,DEFAULT_REFIT_COST,DEFAULT_RELIABILITY_DECAY,DEFAULT_RETIRE_EARLY,CURRENT_RUNNING_COST_BASE,90,DEFAULT_SPRITE_ID,0.3,CURRENT_TRACK_TYPE,25,"REGION(REGIONTYPE1,OCEANIA,NOCONCEPT)","visual_effect_and_powered(VISUAL_EFFECT_DISABLE, 0, DISABLE_WAGON_POWER)",,,13
coach_Gen2_Heavyweight_Intercity_Coach,8,,0,DEFAULT_BITMASK,CARGODEF_PASSENGERS_ONLY,DEFAULT_CARGO_AGE_PERIOD,0,CURRENT_ENGINE_CLASS,60,1900,item_coach_Gen2_Heavyweight_Intercity_Coach,8,LOADINGSPEEDDEF_INTERCITY,,bitmask(TRAIN_FLAG_2CC),75,string(str_coach_Gen2_Heavyweight_Intercity_Coach),1,0,DEFAULT_POWER_PER_WAGON,DEFAULT_REFIT_COST,DEFAULT_RELIABILITY_DECAY,DEFAULT_RETIRE_EARLY,CURRENT_RUNNING_COST_BASE,160,DEFAULT_SPRITE_ID,0.3,CURRENT_TRACK_TYPE,25,"REGION(AMERICA,OCEANIA,NOCONCEPT)","visual_effect_and_powered(VISUAL_EFFECT_DISABLE, 0, DISABLE_WAGON_POWER)",,,73
coach_Gen2_Heavyweight_Mail_Coach,8,,0,DEFAULT_BITMASK,CARGODEF_MAIL_ONLY,DEFAULT_CARGO_AGE_PERIOD,0,CURRENT_ENGINE_CLASS,90,1900,item_coach_Gen2_Heavyweight_Mail_Coach,8,LOADINGSPEEDDEF_INTERCITY,,bitmask(TRAIN_FLAG_2CC),75,string(str_coach_Gen2_Heavyweight_Mail_Coach),1,0,DEFAULT_POWER_PER_WAGON,DEFAULT_REFIT_COST,DEFAULT_RELIABILITY_DECAY,DEFAULT_RETIRE_EARLY,CURRENT_RUNNING_COST_BASE,120,DEFAULT_SPRITE_ID,0.3,CURRENT_TRACK_TYPE,25,"REGION(AMERICA,OCEANIA,NOCONCEPT)","visual_effect_and_powered(VISUAL_EFFECT_DISABLE, 0, DISABLE_WAGON_POWER)",,,58
coach_Gen2_Steel_2_axle_Compartment_Coach,5,,0,DEFAULT_BITMASK,CARGODEF_PASSENGERS_ONLY,DEFAULT_CARGO_AGE_PERIOD,0,CURRENT_ENGINE_CLASS,40,1920,item_coach_Gen2_Steel_2_axle_Compartment_Coach,5,LOADINGSPEEDDEF_COMMUTER,,bitmask(TRAIN_FLAG_2CC),60,string(str_coach_Gen2_Steel_2_axle_Compartment_Coach),1,0,DEFAULT_POWER_PER_WAGON,DEFAULT_REFIT_COST,DEFAULT_RELIABILITY_DECAY,DEFAULT_RETIRE_EARLY,CURRENT_RUNNING_COST_BASE,100,DEFAULT_SPRITE_ID,0.3,CURRENT_TRACK_TYPE,25,"REGION(REGIONTYPE1,OCEANIA,NOCONCEPT)","visual_effect_and_powered(VISUAL_EFFECT_DISABLE, 0, DISABLE_WAGON_POWER)",,,20
coach_Gen2_Steel_2_axle_Mail_Coach,5,,0,DEFAULT_BITMASK,CARGODEF_MAIL_ONLY,DEFAULT_CARGO_AGE_PERIOD,0,CURRENT_ENGINE_CLASS,35,1920,item_coach_Gen2_Steel_2_axle_Mail_Coach,5,LOADINGSPEEDDEF_MAIL,,bitmask(TRAIN_FLAG_2CC),60,string(str_coach_Gen2_Steel_2_axle_Mail_Coach),1,0,DEFAULT_POWER_PER_WAGON,DEFAULT_REFIT_COST,DEFAULT_RELIABILITY_DECAY,DEFAULT_RETIRE_EARLY,CURRENT_RUNNING_COST_BASE,100,DEFAULT_SPRITE_ID,0.3,CURRENT_TRACK_TYPE,25,"REGION(ALLREGION,NOREGION,NOCONCEPT)","visual_effect_and_powered(VISUAL_EFFECT_DISABLE, 0, DISABLE_WAGON_POWER)",,,20
coach_Gen2_Steel_2_axle_Regional_Coach,5,,0,DEFAULT_BITMASK,CARGODEF_PASSENGERS_ONLY,DEFAULT_CARGO_AGE_PERIOD,0,CURRENT_ENGINE_CLASS,40,1920,item_coach_Gen2_Steel_2_axle_Regional_Coach,5,LOADINGSPEEDDEF_INTERCITY,,bitmask(TRAIN_FLAG_2CC),60,string(str_coach_Gen2_Steel_2_axle_Regional_Coach),1,0,DEFAULT_POWER_PER_WAGON,DEFAULT_REFIT_COST,DEFAULT_RELIABILITY_DECAY,DEFAULT_RETIRE_EARLY,CURRENT_RUNNING_COST_BASE,100,DEFAULT_SPRITE_ID,0.3,CURRENT_TRACK_TYPE,25,"REGION(ALLREGION,NOREGION,NOCONCEPT)","visual_effect_and_powered(VISUAL_EFFECT_DISABLE, 0, DISABLE_WAGON_POWER)",,,20
coach_Gen2_Steel_3_axle_Compartment_Coach,6,,0,DEFAULT_BITMASK,CARGODEF_PASSENGERS_ONLY,DEFAULT_CARGO_AGE_PERIOD,0,CURRENT_ENGINE_CLASS,40,1920,item_coach_Gen2_Steel_3_axle_Compartment_Coach,6,LOADINGSPEEDDEF_COMMUTER,,bitmask(TRAIN_FLAG_2CC),60,string(str_coach_Gen2_Steel_3_axle_Compartment_Coach),1,0,DEFAULT_POWER_PER_WAGON,DEFAULT_REFIT_COST,DEFAULT_RELIABILITY_DECAY,DEFAULT_RETIRE_EARLY,CURRENT_RUNNING_COST_BASE,110,DEFAULT_SPRITE_ID,0.3,CURRENT_TRACK_TYPE,25,"REGION(REGIONTYPE1,OCEANIA,NOCONCEPT)","visual_effect_and_powered(VISUAL_EFFECT_DISABLE, 0, DISABLE_WAGON_POWER)",,,21
coach_Gen2_Steel_3_axle_Mail_Coach,6,,0,DEFAULT_BITMASK,CARGODEF_MAIL_ONLY,DEFAULT_CARGO_AGE_PERIOD,0,CURRENT_ENGINE_CLASS,40,1920,item_coach_Gen2_Steel_3_axle_Mail_Coach,6,LOADINGSPEEDDEF_MAIL,,bitmask(TRAIN_FLAG_2CC),60,string(str_coach_Gen2_Steel_3_axle_Mail_Coach),1,0,DEFAULT_POWER_PER_WAGON,DEFAULT_REFIT_COST,DEFAULT_RELIABILITY_DECAY,DEFAULT_RETIRE_EARLY,CURRENT_RUNNING_COST_BASE,120,DEFAULT_SPRITE_ID,0.3,CURRENT_TRACK_TYPE,25,"REGION(REGIONTYPE1,OCEANIA,NOCONCEPT)","visual_effect_and_powered(VISUAL_EFFECT_DISABLE, 0, DISABLE_WAGON_POWER)",,,21
coach_Gen2_Steel_3_axle_Regional_Coach,6,,0,DEFAULT_BITMASK,CARGODEF_PASSENGERS_ONLY,DEFAULT_CARGO_AGE_PERIOD,0,CURRENT_ENGINE_CLASS,35,1920,item_coach_Gen2_Steel_3_axle_Regional_Coach,6,LOADINGSPEEDDEF_INTERCITY,,bitmask(TRAIN_FLAG_2CC),60,string(str_coach_Gen2_Steel_3_axle_Regional_Coach),1,0,DEFAULT_POWER_PER_WAGON,DEFAULT_REFIT_COST,DEFAULT_RELIABILITY_DECAY,DEFAULT_RETIRE_EARLY,CURRENT_RUNNING_COST_BASE,120,DEFAULT_SPRITE_ID,0.3,CURRENT_TRACK_TYPE,25,"REGION(REGIONTYPE1,OCEANIA,NOCONCEPT)","visual_effect_and_powered(VISUAL_EFFECT_DISABLE, 0, DISABLE_WAGON_POWER)",,,22
coach_Gen2_Steel_Compartment_Coach,7,,0,DEFAULT_BITMASK,CARGODEF_PASSENGERS_ONLY,DEFAULT_CARGO_AGE_PERIOD,0,CURRENT_ENGINE_CLASS,75,1910,item_coach_Gen2_Steel_Compartment_Coach,7,LOADINGSPEEDDEF_COMMUTER,,bitmask(TRAIN_FLAG_2CC),60,string(str_coach_Gen2_Steel_Compartment_Coach),1,0,DEFAULT_POWER_PER_WAGON,DEFAULT_REFIT_COST,DEFAULT_RELIABILITY_DECAY,DEFAULT_RETIRE_EARLY,CURRENT_RUNNING_COST_BASE,110,DEFAULT_SPRITE_ID,0.3,CURRENT_TRACK_TYPE,25,"REGION(REGIONTYPE1,OCEANIA,NOCONCEPT)","visual_effect_and_powered(VISUAL_EFFECT_DISABLE, 0, DISABLE_WAGON_POWER)",,,36
coach_Gen2_Steel_Intercity_Coach,7,,0,DEFAULT_BITMASK,CARGODEF_PASSENGERS_ONLY,DEFAULT_CARGO_AGE_PERIOD,0,CURRENT_ENGINE_CLASS,55,1910,item_coach_Gen2_Steel_Intercity_Coach,7,LOADINGSPEEDDEF_INTERCITY,,bitmask(TRAIN_FLAG_2CC),60,string(str_coach_Gen2_Steel_Intercity_Coach),1,0,DEFAULT_POWER_PER_WAGON,DEFAULT_REFIT_COST,DEFAULT_RELIABILITY_DECAY,DEFAULT_RETIRE_EARLY,CURRENT_RUNNING_COST_BASE,120,DEFAULT_SPRITE_ID,0.3,CURRENT_TRACK_TYPE,25,"REGION(REGIONTYPE1,OCEANIA,NOCONCEPT)","visual_effect_and_powered(VISUAL_EFFECT_DISABLE, 0, DISABLE_WAGON_POWER)",,,40
coach_Gen2_Steel_Mail_Coach,7,,0,DEFAULT_BITMASK,CARGODEF_MAIL_ONLY,DEFAULT_CARGO_AGE_PERIOD,0,CURRENT_ENGINE_CLASS,56,1910,item_coach_Gen2_Steel_Mail_Coach,7,LOADINGSPEEDDEF_MAIL,,bitmask(TRAIN_FLAG_2CC),70,string(str_coach_Gen2_Steel_Mail_Coach),1,0,DEFAULT_POWER_PER_WAGON,DEFAULT_REFIT_COST,DEFAULT_RELIABILITY_DECAY,DEFAULT_RETIRE_EARLY,CURRENT_RUNNING_COST_BASE,120,DEFAULT_SPRITE_ID,0.3,CURRENT_TRACK_TYPE,25,"REGION(REGIONTYPE1,OCEANIA,NOCONCEPT)","visual_effect_and_powered(VISUAL_EFFECT_DISABLE, 0, DISABLE_WAGON_POWER)",,,35
coach_Gen2_Steel_Regional_Coach,7,,0,DEFAULT_BITMASK,CARGODEF_PASSENGERS_ONLY,DEFAULT_CARGO_AGE_PERIOD,0,CURRENT_ENGINE_CLASS,65,1910,item_coach_Gen2_Steel_Regional_Coach,7,LOADINGSPEEDDEF_INTERCITY,,bitmask(TRAIN_FLAG_2CC),65,string(str_coach_Gen2_Steel_Regional_Coach),1,0,DEFAULT_POWER_PER_WAGON,DEFAULT_REFIT_COST,DEFAULT_RELIABILITY_DECAY,DEFAULT_RETIRE_EARLY,CURRENT_RUNNING_COST_BASE,110,DEFAULT_SPRITE_ID,0.3,CURRENT_TRACK_TYPE,25,"REGION(REGIONTYPE1,OCEANIA,NOCONCEPT)","visual_effect_and_powered(VISUAL_EFFECT_DISABLE, 0, DISABLE_WAGON_POWER)",,,33
coach_Gen3_Aluminium_Lightweight_Intercity_Coach,8,,0,DEFAULT_BITMASK,CARGODEF_PASSENGERS_ONLY,DEFAULT_CARGO_AGE_PERIOD,0,CURRENT_ENGINE_CLASS,60,1940,item_coach_Gen3_Aluminium_Lightweight_Intercity_Coach,8,LOADINGSPEEDDEF_INTERCITY,,bitmask(TRAIN_FLAG_2CC),50,string(str_coach_Gen3_Aluminium_Lightweight_Intercity_Coach),1,0,DEFAULT_POWER_PER_WAGON,DEFAULT_REFIT_COST,DEFAULT_RELIABILITY_DECAY,DEFAULT_RETIRE_EARLY,CURRENT_RUNNING_COST_BASE,180,DEFAULT_SPRITE_ID,0.3,CURRENT_TRACK_TYPE,25,"REGION(AMERICA,OCEANIA,NOCONCEPT)","visual_effect_and_powered(VISUAL_EFFECT_DISABLE, 0, DISABLE_WAGON_POWER)",,,55
coach_Gen3_Aluminium_Lightweight_Mail_Coach,8,,0,DEFAULT_BITMASK,CARGODEF_MAIL_ONLY,DEFAULT_CARGO_AGE_PERIOD,0,CURRENT_ENGINE_CLASS,85,1940,item_coach_Gen3_Aluminium_Lightweight_Mail_Coach,8,LOADINGSPEEDDEF_MAIL,,bitmask(TRAIN_FLAG_2CC),50,string(str_coach_Gen3_Aluminium_Lightweight_Mail_Coach),1,0,DEFAULT_POWER_PER_WAGON,DEFAULT_REFIT_COST,DEFAULT_RELIABILITY_DECAY,DEFAULT_RETIRE_EARLY,CURRENT_RUNNING_COST_BASE,180,DEFAULT_SPRITE_ID,0.3,CURRENT_TRACK_TYPE,25,"REGION(AMERICA,OCEANIA,NOCONCEPT)","visual_effect_and_powered(VISUAL_EFFECT_DISABLE, 0, DISABLE_WAGON_POWER)",,,52
coach_Gen3_Aluminium_Lightweight_Regional_Coach,8,,0,DEFAULT_BITMASK,CARGODEF_PASSENGERS_ONLY,DEFAULT_CARGO_AGE_PERIOD,0,CURRENT_ENGINE_CLASS,90,1940,item_coach_Gen3_Aluminium_Lightweight_Regional_Coach,8,LOADINGSPEEDDEF_INTERCITY,,bitmask(TRAIN_FLAG_2CC),50,string(str_coach_Gen3_Aluminium_Lightweight_Regional_Coach),1,0,DEFAULT_POWER_PER_WAGON,DEFAULT_REFIT_COST,DEFAULT_RELIABILITY_DECAY,DEFAULT_RETIRE_EARLY,CURRENT_RUNNING_COST_BASE,160,DEFAULT_SPRITE_ID,0.3,CURRENT_TRACK_TYPE,25,"REGION(AMERICA,OCEANIA,NOCONCEPT)","visual_effect_and_powered(VISUAL_EFFECT_DISABLE, 0, DISABLE_WAGON_POWER)",,,52
