VEHIDCODE,FILENAMES_EXPECTED,SAVE_TO,VEHID_ID_CATEGORY,VEHID_ID,ENGLISH,WEB,IS_POWERED_UNPOWERED_SUNDRY,IS_WAGON_OR_COACH,TRACK_TYPES,PROPERTIES,FLAGS,GRAPHICS_PROPERTIES,ITEM,NAME,INTRODUCTION_YEAR,DUAL_HEADED,COUNTRY,COUNTRY_CODE,ENGINE_CLASS,CARGODEF,HEAD_CAPACITY,LENGTH,LOADINGSPEED,LOADINGSPEED_VALUE,MODEL_LIFE,PASSENGER,WEIGHT,POWER,SPEED,TE_STARTING_KN,TE_COEFFICIENT_CALC,TE_COEFFICIENT_MANUAL,TE_COEFFICIENT,VEHICLE_LIFE,WAGON_CAPACITY,WAGON_LENGTH,PURCHASE_CARGO_CAPACITY,REGION1,REGION2,REGION3,PURCHASECOST_VALUE,RUNNINGCOST_VALUE,COST_CAT,ROLE,IS_TURBINE,MISC_FLAGS_TRAIN_FLAG_2CC,MISC_FLAGS_TRAIN_FLAG_MU,MISC_FLAGS_TRAIN_FLAG_AUTOREFIT,VISUAL_EFFECT_1,VISUAL_EFFECT_2,VISUAL_EFFECT_3,TRACK_TYPE_STANDARD_GAUGE_RAILTYPE_OHLE,TRACK_TYPE_STANDARD_GAUGE_RAILTYPE_25KV,TRACK_TYPE_STANDARD_GAUGE_RAILTYPE_15KV,TRACK_TYPE_STANDARD_GAUGE_RAILTYPE_3KV,TRACK_TYPE_STANDARD_GAUGE_RAILTYPE_1500V,TRACK_TYPE_STANDARD_GAUGE_RAILTYPE_3RD,TRACK_TYPE_STANDARD_GAUGE_RAILTYPE_4TH,TRACK_TYPE_STANDARD_GAUGE_RAILTYPE_DUAL,TRACK_TYPE_STANDARD_GAUGE_RAILTYPE_NONE,TRACK_TYPE_NARROW_GAUGE_RAILTYPE_OHLE,TRACK_TYPE_NARROW_GAUGE_RAILTYPE_25KV,TRACK_TYPE_NARROW_GAUGE_RAILTYPE_15KV,TRACK_TYPE_NARROW_GAUGE_RAILTYPE_3KV,TRACK_TYPE_NARROW_GAUGE_RAILTYPE_1500V,TRACK_TYPE_NARROW_GAUGE_RAILTYPE_3RD,TRACK_TYPE_NARROW_GAUGE_RAILTYPE_4TH,TRACK_TYPE_NARROW_GAUGE_RAILTYPE_DUAL,TRACK_TYPE_NARROW_GAUGE_RAILTYPE_NONE,TRACK_TYPE_BROAD_GAUGE_RAILTYPE_OHLE,TRACK_TYPE_BROAD_GAUGE_RAILTYPE_25KV,TRACK_TYPE_BROAD_GAUGE_RAILTYPE_15KV,TRACK_TYPE_BROAD_GAUGE_RAILTYPE_3KV,TRACK_TYPE_BROAD_GAUGE_RAILTYPE_1500V,TRACK_TYPE_BROAD_GAUGE_RAILTYPE_3RD,TRACK_TYPE_BROAD_GAUGE_RAILTYPE_4TH,TRACK_TYPE_BROAD_GAUGE_RAILTYPE_DUAL,TRACK_TYPE_BROAD_GAUGE_RAILTYPE_NONE,TRACK_TYPE_MONO,TRACK_TYPE_MGLV,TRACK_TYPE_MTRO,CHECK_ANY_TT,PANTOGRAPH_POSITION,TEMPLATE_ID,TEMPLATE_AMENDMENT_CODE
rbd_Australia_Victorian_Railways_AEC_RM1,Australia_Victorian_Railways_AEC_RM1,src\Railbus\Railbus_diesel,ID_RANGE_RBD,2000,Victorian Railways AEC RM1,https://en.wikipedia.org/wiki/AEC_railmotor,False,False,True,True,True,True,item_rbd_Australia_Victorian_Railways_AEC_RM1,str_rbd_Australia_Victorian_Railways_AEC_RM1,1922,0,Australia,AU,DIESEL,PASSENGERS,37,5,COMMUTER,40,45,1,24.0,45,50,0.0,0.0,0.1,0.1,15,0,0,0,OCEANIA,NO_REGION,NO_CONCEPT,PURCHASECOST_DIESELRAILBUS_VALUE,RUNNINGCOST_DIESELRAILBUS_VALUE,DIESELRAILBUS,Commuter / Urban,False,True,,,DIESEL,-3,DISABLE_WAGON_POWER,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,True,,TPL_01,B
rbd_Germany_DB_VT_133,Germany_DB_VT_133,src\Railbus\Railbus_diesel,ID_RANGE_RBD,2001,DB VT 133 'Wismar railbus',https://en.wikipedia.org/wiki/Wismar_railbus,False,False,True,True,True,True,item_rbd_Germany_DB_VT_133,str_rbd_Germany_DB_VT_133,1932,0,Germany,DE,DIESEL,PASSENGERS,24,6,COMMUTER,40,45,1,6.0,38,56,0.0,0.0,0.5,0.5,15,0,0,0,WESTERN_EUROPE,NO_REGION,NO_CONCEPT,PURCHASECOST_DIESELRAILBUS_VALUE,RUNNINGCOST_DIESELRAILBUS_VALUE,DIESELRAILBUS,Commuter / Urban,False,True,,,DIESEL,-3,DISABLE_WAGON_POWER,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,True,,TPL_01,B
rbd_United_Kingdom_GWR_AEC_Railcar,United_Kingdom_GWR_AEC_Railcar,src\Railbus\Railbus_diesel,ID_RANGE_RBD,2002,GWR AEC Railcar,https://en.wikipedia.org/wiki/GWR_railcars,False,False,True,True,True,True,item_rbd_United_Kingdom_GWR_AEC_Railcar,str_rbd_United_Kingdom_GWR_AEC_Railcar,1934,0,United Kingdom,GB,DIESEL,PASSENGERS,69,6,COMMUTER,40,45,1,24.0,130,101,0.0,0.0,0.27,0.27,15,0,0,0,NORTHERN_EUROPE,NO_REGION,NO_CONCEPT,PURCHASECOST_DIESELRAILBUS_VALUE,RUNNINGCOST_DIESELRAILBUS_VALUE,DIESELRAILBUS,Commuter / Urban,False,True,,,DIESEL,-3,DISABLE_WAGON_POWER,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,True,,TPL_01,B
rbd_Austria_OBB_5042,Austria_OBB_5042,src\Railbus\Railbus_diesel,ID_RANGE_RBD,2003,ÖBB 5042,https://de.wikipedia.org/wiki/BB%C3%96_VT_42,False,False,True,True,True,True,item_rbd_Austria_OBB_5042,str_rbd_Austria_OBB_5042,1935,0,Austria,AT,DIESEL,PASSENGERS,78,8,COMMUTER,40,45,1,59.0,210,110,50.0,0.08638711795297084,0.08,0.086,15,0,0,0,WESTERN_EUROPE,NO_REGION,NO_CONCEPT,PURCHASECOST_DIESELRAILBUS_VALUE,RUNNINGCOST_DIESELRAILBUS_VALUE,DIESELRAILBUS,Commuter / Urban,False,True,,,DIESEL,-3,DISABLE_WAGON_POWER,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,True,,TPL_01,B
rbd_New_Zealand_NZR_RM31,New_Zealand_NZR_RM31,src\Railbus\Railbus_diesel,ID_RANGE_RBD,2004,NZR RM31,https://en.wikipedia.org/wiki/NZR_RM_class_(Standard),False,False,True,True,True,True,item_rbd_New_Zealand_NZR_RM31,str_rbd_New_Zealand_NZR_RM31,1940,0,New Zealand,NZ,DIESEL,PASSENGERS,50,8,COMMUTER,40,45,1,30.0,228,100,0.0,0.0,0.2,0.2,15,0,0,0,OCEANIA,NO_REGION,NO_CONCEPT,PURCHASECOST_DIESELRAILBUS_VALUE,RUNNINGCOST_DIESELRAILBUS_VALUE,DIESELRAILBUS,Commuter / Urban,False,True,,,DIESEL,-3,DISABLE_WAGON_POWER,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,True,,TPL_01,B
rbd_Portugal_CP_0100,Portugal_CP_0100,src\Railbus\Railbus_diesel,ID_RANGE_RBD,2005,CP 0100,https://en.wikipedia.org/wiki/CP_Class_0100,False,False,True,True,True,True,item_rbd_Portugal_CP_0100,str_rbd_Portugal_CP_0100,1948,0,Portugal,PT,DIESEL,PASSENGERS,70,8,COMMUTER,40,45,1,34.0,350,100,0.0,0.0,0.12,0.12,15,0,0,0,SOUTHERN_EUROPE,NO_REGION,NO_CONCEPT,PURCHASECOST_DIESELRAILBUS_VALUE,RUNNINGCOST_DIESELRAILBUS_VALUE,DIESELRAILBUS,Commuter / Urban,False,True,,,DIESEL,-3,DISABLE_WAGON_POWER,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,True,,TPL_01,B
rbd_USA_Amtrak_Budd_RDC,USA_Amtrak_Budd_RDC,src\Railbus\Railbus_diesel,ID_RANGE_RBD,2006,Amtrak Budd RDC,https://en.wikipedia.org/wiki/Budd_Rail_Diesel_Car,False,False,True,True,True,True,item_rbd_USA_Amtrak_Budd_RDC,str_rbd_USA_Amtrak_Budd_RDC,1949,0,United States,US,DIESEL,PASSENGERS,90,8,COMMUTER,40,45,1,49.0,550,136,0.0,0.0,0.1,0.1,15,0,0,0,NORTH_AMERICA,NO_REGION,NO_CONCEPT,PURCHASECOST_DIESELRAILBUS_VALUE,RUNNINGCOST_DIESELRAILBUS_VALUE,DIESELRAILBUS,Commuter / Urban,False,True,,,DIESEL,-3,DISABLE_WAGON_POWER,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,True,,TPL_01,B
rbd_Germany_DB_VT_989,Germany_DB_VT_989,src\Railbus\Railbus_diesel,ID_RANGE_RBD,2044,DB VT 98.9 / DB 798 'Uerdingen railbus',https://de.wikipedia.org/wiki/DB-Baureihe_VT_98,False,False,True,True,True,True,item_rbd_Germany_DB_VT_989,str_rbd_Germany_DB_VT_989,1953,0,East Germany,GDR,DIESEL,PASSENGERS,56,6,COMMUTER,40,45,1,21.0,300,90,0.0,0.0,0.2,0.2,15,0,0,0,WESTERN_EUROPE,NO_REGION,NO_CONCEPT,PURCHASECOST_DIESELRAILBUS_VALUE,RUNNINGCOST_DIESELRAILBUS_VALUE,DIESELRAILBUS,Commuter / Urban,False,True,,,DIESEL,-3,DISABLE_WAGON_POWER,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,True,,TPL_01,B
rbd_Germany_OHE_520_GDT,Germany_OHE_520_GDT,src\Railbus\Railbus_diesel,ID_RANGE_RBD,2008,OHE MAK 520 GDT,https://de.wikipedia.org/wiki/MaK_GDT,False,False,True,True,True,True,item_rbd_Germany_OHE_520_GDT,str_rbd_Germany_OHE_520_GDT,1959,0,East Germany,GDR,DIESEL,PASSENGERS,108,8,COMMUTER,40,45,1,39.0,440,70,0.0,0.0,0.25,0.25,15,0,0,0,WESTERN_EUROPE,NO_REGION,NO_CONCEPT,PURCHASECOST_DIESELRAILBUS_VALUE,RUNNINGCOST_DIESELRAILBUS_VALUE,DIESELRAILBUS,Commuter / Urban,False,True,,,DIESEL,-3,DISABLE_WAGON_POWER,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,True,,TPL_01,B
rbd_Netherlands_NS_20_Kameel,Netherlands_NS_20_Kameel,src\Railbus\Railbus_diesel,ID_RANGE_RBD,2009,NS 20 'Kameel',https://nl.wikipedia.org/wiki/Kameel_(spoorwegmaterieel),False,False,True,True,True,True,item_rbd_Netherlands_NS_20_Kameel,str_rbd_Netherlands_NS_20_Kameel,1954,0,Netherlands,NL,DIESEL,PASSENGERS,28,8,COMMUTER,40,45,1,58.0,285,125,0.0,0.0,0.12,0.12,15,0,0,0,WESTERN_EUROPE,NO_REGION,NO_CONCEPT,PURCHASECOST_DIESELRAILBUS_VALUE,RUNNINGCOST_DIESELRAILBUS_VALUE,DIESELRAILBUS,Commuter / Urban,False,True,,,DIESEL,-3,DISABLE_WAGON_POWER,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,True,,TPL_01,B
rbd_Netherlands_NS_DH1,Netherlands_NS_DH1,src\Railbus\Railbus_diesel,ID_RANGE_RBD,2012,NS DH1,https://en.wikipedia.org/wiki/D%C3%BCwag_Wadloper,False,False,True,True,True,True,item_rbd_Netherlands_NS_DH1,str_rbd_Netherlands_NS_DH1,1984,0,Netherlands,NL,DIESEL,PASSENGERS,56,8,COMMUTER,40,45,1,37.0,285,100,0.0,0.0,0.23,0.23,15,0,0,0,WESTERN_EUROPE,NO_REGION,NO_CONCEPT,PURCHASECOST_DIESELRAILBUS_VALUE,RUNNINGCOST_DIESELRAILBUS_VALUE,DIESELRAILBUS,Commuter / Urban,False,True,,,DIESEL,-3,DISABLE_WAGON_POWER,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,True,,TPL_01,B
rbd_Austria_OBB_5047,Austria_OBB_5047,src\Railbus\Railbus_diesel,ID_RANGE_RBD,2013,ÖBB 5047,https://de.wikipedia.org/wiki/%C3%96BB_5047,False,False,True,True,True,True,item_rbd_Austria_OBB_5047,str_rbd_Austria_OBB_5047,1987,0,Austria,AT,DIESEL,PASSENGERS,62,8,COMMUTER,40,45,1,44.0,562,120,0.0,0.0,0.11,0.11,15,0,0,0,WESTERN_EUROPE,NO_REGION,NO_CONCEPT,PURCHASECOST_DIESELRAILBUS_VALUE,RUNNINGCOST_DIESELRAILBUS_VALUE,DIESELRAILBUS,Commuter / Urban,False,True,,,DIESEL,-3,DISABLE_WAGON_POWER,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,True,,TPL_01,B
rbd_United_Kingdom_BR_153_Super_Sprinter,United_Kingdom_BR_153_Super_Sprinter,src\Railbus\Railbus_diesel,ID_RANGE_RBD,2014,BR 153 'Super Sprinter',https://en.wikipedia.org/wiki/British_Rail_Class_153,False,False,True,True,True,True,item_rbd_United_Kingdom_BR_153_Super_Sprinter,str_rbd_United_Kingdom_BR_153_Super_Sprinter,1991,0,United Kingdom,GB,DIESEL,PASSENGERS,75,8,COMMUTER,40,45,1,42.0,285,120,0.0,0.0,0.1,0.1,15,0,0,0,NORTHERN_EUROPE,NO_REGION,NO_CONCEPT,PURCHASECOST_DIESELRAILBUS_VALUE,RUNNINGCOST_DIESELRAILBUS_VALUE,DIESELRAILBUS,Commuter / Urban,False,True,,,DIESEL,-3,DISABLE_WAGON_POWER,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,True,,TPL_01,B
rbd_Czech_Republic_CD_809,Czech_Republic_CD_809,src\Railbus\Railbus_diesel,ID_RANGE_RBD,2015,ČD 809,https://cs.wikipedia.org/wiki/Motorov%C3%BD_v%C5%AFz_809,False,False,True,True,True,True,item_rbd_Czech_Republic_CD_809,str_rbd_Czech_Republic_CD_809,1996,0,Czech Republic,CZ,DIESEL,PASSENGERS,95,7,COMMUTER,40,VEHICLE_NEVER_EXPIRES,1,20.0,210,80,0.0,0.0,0.15,0.15,15,0,0,0,EASTERN_EUROPE,NO_REGION,NO_CONCEPT,PURCHASECOST_DIESELRAILBUS_VALUE,RUNNINGCOST_DIESELRAILBUS_VALUE,DIESELRAILBUS,Commuter / Urban,False,True,,,DIESEL,-3,DISABLE_WAGON_POWER,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,True,,TPL_01,B
rbd_Germany_DB_670,Germany_DB_670,src\Railbus\Railbus_diesel,ID_RANGE_RBD,2017,DB 670,https://de.wikipedia.org/wiki/DB-Baureihe_670,False,False,True,True,True,True,item_rbd_Germany_DB_670,str_rbd_Germany_DB_670,1996,0,Germany,DE,DIESEL,PASSENGERS,110,7,COMMUTER,40,VEHICLE_NEVER_EXPIRES,1,34.0,335,100,0.0,0.0,0.21,0.21,15,0,0,0,WESTERN_EUROPE,NO_REGION,NO_CONCEPT,PURCHASECOST_DIESELRAILBUS_VALUE,RUNNINGCOST_DIESELRAILBUS_VALUE,DIESELRAILBUS,Commuter / Urban,False,True,,,DIESEL,-3,DISABLE_WAGON_POWER,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,True,,TPL_01,B
rbd_Lithuania_Lithuanian_Railways_AR2,Lithuania_Lithuanian_Railways_AR2,src\Railbus\Railbus_diesel,ID_RANGE_RBD,2018,Lithuanian Railways AR2,https://trainspo.com/model/3411/,False,False,True,True,True,True,item_rbd_Lithuania_Lithuanian_Railways_AR2,str_rbd_Lithuania_Lithuanian_Railways_AR2,1997,0,Lithuania,LT,DIESEL,PASSENGERS,76,8,COMMUTER,40,VEHICLE_NEVER_EXPIRES,1,32.0,400,120,0.0,0.0,0.12,0.12,15,0,0,0,NORTHERN_EUROPE,NO_REGION,NO_CONCEPT,PURCHASECOST_DIESELRAILBUS_VALUE,RUNNINGCOST_DIESELRAILBUS_VALUE,DIESELRAILBUS,Commuter / Urban,False,True,,,DIESEL,-3,DISABLE_WAGON_POWER,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,True,,TPL_01,B
